module name	repository
next-tick@1.0.0	https://github.com/medikoo/next-tick
normalize-path@2.1.1	https://github.com/jonschlinkert/normalize-path
npm-run-path@2.0.2	https://github.com/sindresorhus/npm-run-path
number-is-nan@1.0.1	https://github.com/sindresorhus/number-is-nan
object.getownpropertydescriptors@2.0.3	https://github.com/ljharb/object.getownpropertydescriptors
object.pick@1.3.0	https://github.com/jonschlinkert/object.pick
object-assign@4.1.1	https://github.com/sindresorhus/object-assign
object-copy@0.1.0	https://github.com/jonschlinkert/object-copy
object-visit@1.0.1	https://github.com/jonschlinkert/object-visit
on-finished@2.3.0	https://github.com/jshttp/on-finished
os-homedir@1.0.2	https://github.com/sindresorhus/os-homedir
os-tmpdir@1.0.2	https://github.com/sindresorhus/os-tmpdir
parse5@4.0.0	https://github.com/inikulin/parse5
parseqs@0.0.5	https://github.com/get/querystring
parseuri@0.0.5	https://github.com/get/parseuri
parseurl@1.3.2	https://github.com/pillarjs/parseurl
pascalcase@0.1.1	https://github.com/jonschlinkert/pascalcase
path-dirname@1.0.2	https://github.com/es128/path-dirname
path-exists@3.0.0	https://github.com/sindresorhus/path-exists
path-is-absolute@1.0.1	https://github.com/sindresorhus/path-is-absolute
path-key@2.0.1	https://github.com/sindresorhus/path-key
path-parse@1.0.6	https://github.com/jbgutierrez/path-parse
path-to-regexp@0.1.7	https://github.com/component/path-to-regexp
performance-now@2.1.0	https://github.com/braveg1rl/performance-now
p-finally@1.0.0	https://github.com/sindresorhus/p-finally
pify@2.3.0	https://github.com/sindresorhus/pify
pify@3.0.0	https://github.com/sindresorhus/pify
pinkie@2.0.4	https://github.com/floatdrop/pinkie
pinkie-promise@2.0.1	https://github.com/floatdrop/pinkie-promise
posix-character-classes@0.1.1	https://github.com/jonschlinkert/posix-character-classes
prelude-ls@1.1.2	https://github.com/gkz/prelude-ls
prepend-http@1.0.4	https://github.com/sindresorhus/prepend-http
process-nextick-args@2.0.0	https://github.com/calvinmetcalf/process-nextick-args
prr@1.0.1	https://github.com/rvagg/prr
psl@1.1.31	https://github.com/wrangr/psl
punycode@1.4.1	https://github.com/bestiejs/punycode.js
punycode@2.1.1	https://github.com/bestiejs/punycode.js
readable-stream@2.3.6	https://github.com/nodejs/readable-stream
readdirp@2.2.1	https://github.com/paulmillr/readdirp
regenerator-runtime@0.11.1	https://github.com/facebook/regenerator/tree/master/packages/regenerator-runtime
regex-not@1.0.2	https://github.com/jonschlinkert/regex-not
repeat-element@1.1.3	https://github.com/jonschlinkert/repeat-element
repeating@2.0.1	https://github.com/sindresorhus/repeating
